0,CombatZoneResize,241,226,406,391,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,SansHead,Anger,,,,,
0,Sound,死亡音乐,,,,,,,
0,Sound,死亡音乐,,,,,,,
0.5,SET,gt,0,,,,,,,,,,,
0,SET,gin,1,,,,,,,,,,,
0,MUL,Ang,$gt,-3,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,
0,MUL,EndX,$X,330,,,,,,,,,,
0,MUL,EndY,$Y,330,,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,,
0,ADD,X,$X,320,,,,,,,,,,
0,ADD,Y,$Y,306,,,,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,,,,
0,ADD,EndY,$EndY,306,,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1,0.4
0,ADD,gt,$gt,$gin,,,,,,,,,,
0,JMPNL,29,$gin,1.1,,,,,,,,,,
0,ADD,gin,$gin,,,,,,
0,SansShake,10,,,,,
0.02222,JMPL,13,$gt,450,,,,,,,,,,
0,MUL,Ang,$gt,5,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,
0,MUL,EndX,$X,330,,,,,,,,,,
0,MUL,EndY,$Y,330,,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,,
0,ADD,X,$X,320,,,,,,,,,,
0,ADD,Y,$Y,306,,,,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,,,,
0,ADD,EndY,$EndY,306,,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1,0.2
0,ADD,gt,$gt,$gin,,,,,,,,,,
0,JMPNL,47,$gin,1,,,,,,,,,,
0,ADD,gin,$gin,,,,,,
0,SansShake,10,,,,,,
0.02222,JMPL,31,$gt,1200,,,,,,,,,,
3,EndAttack,,,,,,
