0,CombatZoneResize,136,221,506,391,,,,,
0,HeartTeleport,320,304,,,,,,,
0,HeartMode,0,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,
0.6,,,,,,,,
0,SansHead,tired1,,,,,,,,
0.9,SansText, You Must Care about your revenge,,,,,,,,
0.3,Sound,Time Move,,,,,,
0.9,,,,,,,
0,SansHead,default,,,,,,,,
0,SET,Loop,8,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,
0.75,RND,UL,101,,,,,UL:  -         ֵ,,101:170  -5 Ϲǿհ -25 Ϲǹ̶ -5 ¹ǿհ -25 ¹ǹ̶ +1      ֵ
0,ADD,UL,$UL,25,,,,UL + 25 Ϲǹ̶ ,,
0,ADD,DY,$UL,246,,,,DY:  -   Y    ֵ,,246  221    +5 հ +20  
0,SUB,DL,140,$UL,,,,DL:  -         ֵ,,140:170  -5 Ϲǿհ -20  +5 ¹ǿհ 
0,BoneV,506,226,$UL,2,100,,,,
0,BoneV,506,$DY,$DL,2,100,,,,
0,BoneV,506,226,160,2,100,2,,,
0.4,BoneV,124,226,$UL,0,125,,,,
0,BoneV,124,$DY,$DL,0,125,,,,
0,BoneV,124,226,160,0,125,1,,,
0,sOUND,bONEStab,,,,,,,,
0.85,RND,UL,101,,,,,,,
0,ADD,UL,$UL,25,,,,,,
0,ADD,DY,$UL,246,,,,,,
0,SUB,DL,140,$UL,,,,,,
0,BoneV,506,226,$UL,2,100,,,,
0,BoneV,506,$DY,$DL,2,100,,,,
0,BoneV,506,226,160,2,100,2,,,
0,JMPNZ,12,$Loop,,,,,,,
2,SET,Loop,5,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,
0.05,BoneV,506,226,$UL,2,500,,,,
0,BoneV,506,$DY,$DL,2,500,,,,
0,BoneV,506,226,160,2,500,1,,,
0,sOUND,bONEStab,,,,,,,,
0.3,JMPNZ,33,$Loop,,,,,,,
1,EndAttack,,,,,,,,,

