0,CombatZoneResize,113,231,548,391,,,,
0,HeartTeleport,235,304,,,,,,
0,HeartMode,1,,
1,The world off,,,,,,

0.5,Platform,230,336,41,0,0,1,
0,Platform,310,336,41,0,0,1,
0,Platform,390,336,41,0,0,1,
0,Platform,470,336,41,0,0,1,
0,Platform,150,336,41,0,0,1,
0,Platform,70,336,41,0,0,1,

0,BoneVVRepeat,121,231,60,0,120,0,0,0,0,50,100

0.5,BoneStab,1,40,0.2,133,,,

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,SansAnimation,Idle,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.2

0.9,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.2

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1


0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
