0,sanshead,noeyes,,,,,,,
0,CombatZoneResize,133,211,508,351,TLResume,,,
0,HeartTeleport,320,324,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
1,The World Off,,,,,,,
0.7,Sound,Teleport1,,,,,,
,,,,,,,,,
0,Sansx,999,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,CombatZoneResizeinstant,133,251,508,391,,,,
0.001,CombatZoneResizeinstant,103,231,478,361,,,,
0.1,BoneStab,1,40,0.7777777,9999999,,,,
0,HeartTeleport,320,324,,,,,,
0,HeartMode,1,,,,,,,
,,,,,,,,,
0,PlatformRepeat,552,346,51,2,120,0,55,140,
0,PlatformRepeat,-20,306,51,0,120,0,55,160,
0,PlatformRepeat,-20,226,51,0,120,0,55,160,
0,PlatformRepeat,552,266,51,2,120,0,55,140,
,,,,,,,,,
0,SET,Loop,12,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0.4,CombatZoneResize,93,211,468,351,,,,
0,CombatZoneSpeed,80,,,,,,,
0.4,CombatZoneResize,133,171,508,311,,,,
0,CombatZoneSpeed,80,,,,,,,
0.4,CombatZoneResize,173,211,548,351,,,,
0,CombatZoneSpeed,80,,,,,,,
0.4,CombatZoneResize,133,251,508,391,,,,
0,CombatZoneSpeed,80,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,bonevv,$HeartX,0,15,90,200,200,0,0
0,bonevv,$HeartX,480,15,270,200,100,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ANGLE,Ang,50,20,$HeartX,$HeartY,,,
0,ANGLE,Ang2,590,20,$HeartX,$HeartY,,,
0,ANGLE,Ang3,590,460,$HeartX,$HeartY,,,
0,ANGLE,Ang4,50,460,$HeartX,$HeartY,,,
0,gasterblaster,0,0,0,50,20,$Ang,0.36666,0.2
0,gasterblaster,0,640,0,590,20,$Ang2,0.36666,0.2
0,gasterblaster,0,640,480,590,460,$Ang3,0.36666,0.2
0,gasterblaster,0,0,480,50,460,$Ang4,0.36666,0.2
0,JMPNZ,27,$Loop,,,,,,
1,EndAttack,,,,,,,,
